Kredi Başvuru No,Müşteri No,Bakmakla Yükümlü Sayısı,Eğitim Durumu,Serbest Çalışan mı,Yıllık Gelir,Talep Edilen Kredi Tutarı,Kredi Vadesi (Ay),Kredi Notu,Konut Varlık Değeri,Ticari Varlık Değeri,Lüks Varlık Değeri,Banka Varlık Değeri,Kredi Kararı,Başvuru Tarihi
1,968,2,Lisans Mezunu,Hayır,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Onaylandı,2025-02-17
2,424,0,Lise Mezunu,Evet,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Reddedildi,2024-03-03
3,674,3,Lisans Mezunu,Hayır,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Reddedildi,2025-04-04
4,756,3,Lisans Mezunu,Hayır,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Reddedildi,2024-08-04
5,157,5,Lise Mezunu,Evet,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Reddedildi,2024-01-04
6,312,0,Lisans Mezunu,Evet,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Reddedildi,2024-09-20
7,573,5,Lisans Mezunu,Hayır,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Onaylandı,2024-12-26
8,822,2,Lisans Mezunu,Evet,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Reddedildi,2024-04-18
9,563,0,Lisans Mezunu,Evet,800000,2200000,20,782,1300000,800000,2800000,600000,Onaylandı,2025-06-24
10,261,5,Lise Mezunu,Hayır,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Reddedildi,2024-01-09
11,959,4,Lisans Mezunu,Evet,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Onaylandı,2025-01-14
12,893,2,Lise Mezunu,Evet,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Reddedildi,2025-02-23
13,68,3,Lise Mezunu,Evet,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Reddedildi,2025-06-14
14,958,2,Lisans Mezunu,Evet,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Onaylandı,2025-03-20
15,597,1,Lise Mezunu,Hayır,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Reddedildi,2024-07-08
16,894,5,Lise Mezunu,Hayır,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Onaylandı,2025-10-04
17,554,2,Lisans Mezunu,Evet,500000,1600000,4,663,1300000,100000,1300000,700000,Onaylandı,2025-03-09
18,903,4,Lise Mezunu,Evet,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Onaylandı,2024-09-13
19,41,2,Lisans Mezunu,Hayır,2700000,10300000,10,736,1000000,0,6200000,3300000,Onaylandı,2024-05-12
20,807,5,Lisans Mezunu,Hayır,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Onaylandı,2025-04-26
21,57,2,Lisans Mezunu,Hayır,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Reddedildi,2024-07-04
22,828,4,Lisans Mezunu,Hayır,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Reddedildi,2025-01-04
23,897,4,Lisans Mezunu,Evet,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Reddedildi,2025-10-23
24,855,0,Lise Mezunu,Evet,500000,1400000,2,551,900000,600000,1100000,300000,Onaylandı,2025-09-25
25,444,0,Lise Mezunu,Hayır,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Reddedildi,2024-10-28
26,265,5,Lise Mezunu,Hayır,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Reddedildi,2024-11-29
27,577,4,Lisans Mezunu,Hayır,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Onaylandı,2024-05-17
28,213,4,Lise Mezunu,Evet,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Onaylandı,2024-05-02
29,709,5,Lise Mezunu,Evet,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Reddedildi,2024-01-02
30,399,3,Lise Mezunu,Evet,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Onaylandı,2024-04-24
31,201,2,Lise Mezunu,Hayır,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Reddedildi,2025-10-28
32,603,2,Lisans Mezunu,Hayır,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Reddedildi,2025-05-11
33,574,1,Lise Mezunu,Evet,800000,1600000,10,436,700000,200000,2200000,1000000,Reddedildi,2025-10-15
34,124,5,Lise Mezunu,Evet,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Onaylandı,2024-02-13
35,50,3,Lisans Mezunu,Hayır,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Onaylandı,2024-09-06
36,116,2,Lisans Mezunu,Evet,1700000,3400000,8,691,2700000,2800000,6000000,900000,Onaylandı,2025-02-15
37,224,3,Lise Mezunu,Hayır,1600000,6200000,18,636,3400000,700000,5300000,1400000,Onaylandı,2024-12-10
38,477,5,Lisans Mezunu,Evet,8000000,27200000,6,348,6400000,300000,16700000,7100000,Reddedildi,2024-11-15
39,301,5,Lisans Mezunu,Hayır,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Onaylandı,2024-02-08
40,617,3,Lise Mezunu,Evet,1500000,5100000,6,352,100000,200000,5600000,900000,Reddedildi,2024-11-05
41,371,1,Lisans Mezunu,Hayır,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Onaylandı,2025-09-18
42,489,2,Lise Mezunu,Hayır,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Onaylandı,2025-11-01
43,83,3,Lisans Mezunu,Hayır,1400000,3400000,6,540,200000,1500000,3900000,800000,Reddedildi,2024-07-21
44,899,2,Lisans Mezunu,Evet,800000,2300000,12,342,2200000,1300000,1800000,800000,Reddedildi,2024-10-17
45,598,5,Lisans Mezunu,Hayır,6500000,13400000,18,787,18200000,300000,16200000,5400000,Onaylandı,2025-01-08
46,251,4,Lisans Mezunu,Hayır,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Reddedildi,2024-02-12
47,805,3,Lise Mezunu,Evet,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Onaylandı,2024-07-14
48,130,1,Lisans Mezunu,Evet,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Onaylandı,2025-09-07
49,760,3,Lise Mezunu,Hayır,5500000,20500000,12,634,800000,8600000,18500000,8200000,Onaylandı,2025-05-21
50,829,1,Lise Mezunu,Evet,9500000,19100000,16,662,100000,10500000,37700000,11700000,Onaylandı,2024-08-25
51,139,4,Lisans Mezunu,Hayır,7300000,25400000,16,502,500000,1800000,20500000,10500000,Reddedildi,2024-06-21
52,887,2,Lisans Mezunu,Hayır,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Reddedildi,2025-04-13
53,592,5,Lise Mezunu,Hayır,3800000,7600000,4,689,8700000,100000,9300000,3400000,Onaylandı,2024-07-06
54,442,1,Lise Mezunu,Evet,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Onaylandı,2025-04-19
55,616,2,Lisans Mezunu,Evet,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Onaylandı,2024-08-08
56,285,5,Lise Mezunu,Hayır,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Onaylandı,2024-11-06
57,586,2,Lise Mezunu,Hayır,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Reddedildi,2024-01-23
58,814,5,Lisans Mezunu,Evet,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Onaylandı,2024-12-16
59,745,1,Lisans Mezunu,Hayır,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Reddedildi,2024-12-19
60,228,4,Lise Mezunu,Evet,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Onaylandı,2025-06-05
61,307,2,Lise Mezunu,Hayır,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Reddedildi,2025-08-16
62,838,3,Lise Mezunu,Evet,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Onaylandı,2025-10-28
63,877,5,Lise Mezunu,Evet,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Reddedildi,2025-08-13
64,858,3,Lise Mezunu,Evet,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Onaylandı,2024-11-07
65,818,4,Lisans Mezunu,Evet,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Onaylandı,2025-01-11
66,415,1,Lisans Mezunu,Hayır,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Reddedildi,2024-01-10
67,658,3,Lise Mezunu,Hayır,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Onaylandı,2025-09-08
68,801,0,Lise Mezunu,Evet,2700000,10100000,20,693,200000,1700000,5900000,1400000,Reddedildi,2025-05-14
69,504,4,Lisans Mezunu,Hayır,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Onaylandı,2025-04-23
70,718,0,Lisans Mezunu,Hayır,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Reddedildi,2025-08-23
71,540,4,Lise Mezunu,Evet,500000,1500000,20,340,100000,200000,1900000,600000,Reddedildi,2024-01-23
72,69,5,Lisans Mezunu,Evet,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Onaylandı,2024-05-21
73,350,5,Lise Mezunu,Hayır,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Reddedildi,2024-07-14
74,626,3,Lise Mezunu,Evet,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Onaylandı,2025-06-29
75,500,2,Lise Mezunu,Hayır,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Reddedildi,2025-05-25
76,889,2,Lise Mezunu,Hayır,1900000,6500000,18,671,600000,2500000,4800000,1100000,Onaylandı,2025-07-29
77,859,4,Lisans Mezunu,Hayır,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Onaylandı,2024-04-21
78,373,0,Lisans Mezunu,Hayır,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Onaylandı,2024-10-26
79,355,2,Lise Mezunu,Hayır,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Onaylandı,2024-09-20
80,922,0,Lise Mezunu,Hayır,700000,1400000,14,639,1900000,700000,2400000,900000,Onaylandı,2024-07-25
81,227,4,Lisans Mezunu,Hayır,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Reddedildi,2025-04-11
82,784,0,Lise Mezunu,Hayır,8800000,31200000,4,826,2900000,500000,33300000,8600000,Onaylandı,2025-07-28
83,241,2,Lise Mezunu,Evet,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Reddedildi,2025-08-09
84,655,3,Lisans Mezunu,Hayır,3600000,8600000,20,613,9400000,300000,10300000,3300000,Onaylandı,2025-03-03
85,801,3,Lise Mezunu,Evet,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Onaylandı,2024-06-03
86,124,2,Lisans Mezunu,Hayır,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Reddedildi,2025-02-24
87,11,5,Lise Mezunu,Evet,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Reddedildi,2024-03-12
88,165,1,Lise Mezunu,Evet,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Reddedildi,2025-06-07
89,24,4,Lisans Mezunu,Evet,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Onaylandı,2024-11-26
90,66,2,Lise Mezunu,Hayır,9800000,37600000,10,641,24100000,0,23400000,7600000,Onaylandı,2024-09-12
91,750,4,Lisans Mezunu,Hayır,5700000,21100000,18,489,500000,4300000,12500000,6000000,Reddedildi,2024-03-31
92,478,4,Lisans Mezunu,Hayır,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Reddedildi,2025-07-28
93,28,4,Lisans Mezunu,Hayır,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Onaylandı,2024-01-22
94,191,1,Lisans Mezunu,Hayır,1700000,6400000,10,452,900000,1100000,5600000,2100000,Reddedildi,2025-06-13
95,401,2,Lisans Mezunu,Hayır,1000000,2000000,10,366,1200000,400000,3200000,1300000,Reddedildi,2024-04-25
96,79,5,Lisans Mezunu,Hayır,300000,1100000,2,300,100000,500000,700000,400000,Onaylandı,2024-08-15
97,10,2,Lisans Mezunu,Evet,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Reddedildi,2024-02-28
98,131,2,Lise Mezunu,Hayır,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Onaylandı,2025-10-21
99,984,4,Lisans Mezunu,Hayır,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Onaylandı,2025-04-28
100,12,0,Lisans Mezunu,Hayır,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Reddedildi,2024-09-10
101,81,4,Lise Mezunu,Hayır,400000,900000,12,478,700000,100000,1200000,100000,Reddedildi,2025-10-31
102,369,2,Lise Mezunu,Evet,300000,1100000,2,702,300000,200000,500000,200000,Onaylandı,2024-01-20
103,218,2,Lise Mezunu,Evet,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Onaylandı,2024-11-15
104,511,4,Lisans Mezunu,Hayır,1600000,4500000,12,633,700000,1700000,4100000,1900000,Onaylandı,2024-01-12
105,219,5,Lise Mezunu,Evet,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Reddedildi,2024-10-05
106,959,3,Lise Mezunu,Evet,4200000,9700000,16,841,7800000,300000,16700000,5100000,Onaylandı,2025-10-31
107,277,4,Lise Mezunu,Evet,9000000,18100000,12,764,600000,16500000,20800000,11600000,Onaylandı,2025-02-09
108,80,0,Lisans Mezunu,Hayır,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Onaylandı,2025-04-14
109,955,1,Lisans Mezunu,Evet,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Onaylandı,2025-05-03
110,305,2,Lisans Mezunu,Hayır,3300000,6800000,14,317,3400000,300000,11700000,3600000,Reddedildi,2025-02-06
111,129,0,Lise Mezunu,Hayır,300000,1100000,8,778,800000,200000,900000,100000,Onaylandı,2024-03-20
112,692,3,Lisans Mezunu,Evet,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Reddedildi,2024-03-06
113,271,5,Lise Mezunu,Hayır,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Reddedildi,2025-01-04
114,397,5,Lise Mezunu,Evet,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Onaylandı,2025-02-28
115,301,1,Lise Mezunu,Hayır,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Reddedildi,2024-06-03
116,943,0,Lise Mezunu,Evet,3300000,10800000,12,797,600000,6000000,7700000,3300000,Onaylandı,2024-06-16
117,211,4,Lise Mezunu,Evet,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Reddedildi,2025-05-25
118,793,0,Lise Mezunu,Hayır,600000,1600000,6,647,1500000,600000,1500000,700000,Onaylandı,2025-08-09
119,615,0,Lise Mezunu,Hayır,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Reddedildi,2025-07-31
120,17,1,Lise Mezunu,Evet,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Onaylandı,2024-04-16
121,755,5,Lisans Mezunu,Hayır,900000,2300000,16,545,100000,200000,2700000,800000,Reddedildi,2024-01-04
122,758,2,Lisans Mezunu,Hayır,800000,3200000,8,317,300000,1000000,2000000,900000,Reddedildi,2024-09-06
123,478,1,Lise Mezunu,Hayır,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Onaylandı,2025-01-15
124,922,0,Lise Mezunu,Evet,9000000,18700000,18,865,26800000,0,20900000,11300000,Onaylandı,2024-05-13
125,344,3,Lisans Mezunu,Hayır,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Onaylandı,2025-09-06
126,348,3,Lisans Mezunu,Hayır,200000,600000,16,821,400000,100000,500000,100000,Onaylandı,2025-02-06
127,501,4,Lise Mezunu,Evet,400000,800000,10,859,900000,500000,800000,200000,Onaylandı,2024-08-29
128,275,3,Lise Mezunu,Hayır,5100000,18200000,10,395,100000,8000000,15500000,6300000,Reddedildi,2025-08-04
129,828,2,Lise Mezunu,Evet,700000,2600000,12,429,1600000,1300000,2700000,800000,Reddedildi,2024-01-13
130,493,3,Lisans Mezunu,Hayır,400000,1200000,12,861,200000,600000,1100000,200000,Onaylandı,2024-11-10
131,337,0,Lise Mezunu,Evet,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Onaylandı,2025-05-24
132,775,5,Lisans Mezunu,Hayır,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Reddedildi,2024-07-27
133,409,3,Lise Mezunu,Evet,1800000,3600000,18,465,600000,500000,5400000,2600000,Reddedildi,2024-08-23
134,625,4,Lise Mezunu,Evet,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Reddedildi,2024-11-18
135,434,3,Lise Mezunu,Hayır,1500000,5500000,16,717,2100000,800000,4400000,1300000,Onaylandı,2024-08-06
136,93,3,Lisans Mezunu,Hayır,1600000,5500000,12,425,600000,800000,5400000,900000,Reddedildi,2024-12-03
137,80,2,Lise Mezunu,Hayır,4600000,16700000,2,786,200000,5900000,13900000,6100000,Onaylandı,2025-10-13
138,601,5,Lise Mezunu,Evet,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Reddedildi,2024-11-02
139,71,3,Lise Mezunu,Evet,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Onaylandı,2025-05-28
140,250,0,Lisans Mezunu,Hayır,200000,700000,8,501,500000,200000,700000,100000,Reddedildi,2024-09-09
141,658,2,Lise Mezunu,Evet,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Onaylandı,2025-02-23
142,57,4,Lise Mezunu,Hayır,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Onaylandı,2025-07-04
143,689,0,Lisans Mezunu,Evet,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Onaylandı,2025-04-19
144,314,4,Lise Mezunu,Hayır,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Reddedildi,2024-10-09
145,137,2,Lisans Mezunu,Evet,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Onaylandı,2024-01-22
146,951,5,Lise Mezunu,Hayır,600000,1500000,14,543,300000,900000,2100000,300000,Reddedildi,2024-11-01
147,966,3,Lisans Mezunu,Evet,1400000,3200000,20,772,2400000,900000,5100000,1600000,Onaylandı,2024-04-13
148,59,3,Lisans Mezunu,Hayır,4000000,11100000,12,572,9700000,100000,12500000,2400000,Onaylandı,2024-02-04
149,355,0,Lise Mezunu,Evet,4900000,11900000,16,709,14600000,900000,18500000,3800000,Onaylandı,2024-09-18
150,564,5,Lisans Mezunu,Hayır,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Reddedildi,2024-05-10
151,47,1,Lise Mezunu,Evet,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Reddedildi,2024-05-29
152,530,5,Lisans Mezunu,Evet,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Onaylandı,2024-01-01
153,807,1,Lisans Mezunu,Evet,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Onaylandı,2025-10-01
154,563,2,Lise Mezunu,Hayır,1300000,4500000,6,415,0,900000,2900000,1200000,Reddedildi,2024-07-13
